osm_id;name;betreiber;adresse;plz;hallenflaeche_m2;lat;lon;osm_link
92876765;Bühler;;Harkortstraße 29;40880;1521;51.309981;6.831659;https://www.openstreetmap.org/way/92876765
105039225;;FedEx;;;1510;51.290665;6.836245;https://www.openstreetmap.org/way/105039225
725805655;;;Halskestraße 24;40880;1375;51.305597;6.835053;https://www.openstreetmap.org/way/725805655
92715282;;;Harkortstraße 14;40880;1282;51.307345;6.833797;https://www.openstreetmap.org/way/92715282
255493112;ContiKlima;;Rehhecke 88;40885;1226;51.343696;6.836989;https://www.openstreetmap.org/way/255493112
92715275;;;Harkortstraße 30;40880;1118;51.307945;6.834931;https://www.openstreetmap.org/way/92715275
217519743;Spider;;Harkortstraße 27;40880;1071;51.309681;6.831742;https://www.openstreetmap.org/way/217519743
221098942;;;Am Gierath 20e;40885;1041;51.33643;6.84891;https://www.openstreetmap.org/way/221098942
95878548;Franken-Holz;;;;821;51.292244;6.861506;https://www.openstreetmap.org/way/95878548
242877753;;;Am Sondert 22;40883;792;51.341784;6.892024;https://www.openstreetmap.org/way/242877753
95878444;Franken-Holz;;;;721;51.29189;6.861269;https://www.openstreetmap.org/way/95878444
307735997;;Bundesanstalt Technisches Hilfswerk;;;548;51.330244;6.840359;https://www.openstreetmap.org/way/307735997
95878481;;;Am Ostbahnhof 5;40878;445;51.293906;6.862494;https://www.openstreetmap.org/way/95878481
307735999;;Bundesanstalt Technisches Hilfswerk;;;398;51.330372;6.84097;https://www.openstreetmap.org/way/307735999
306854639;;;Am Gierath 28;40885;370;51.336629;6.84753;https://www.openstreetmap.org/way/306854639
306854638;;;Am Gierath 26;40885;356;51.336709;6.847789;https://www.openstreetmap.org/way/306854638
280076345;;;Bahnhofstraße 102;40883;344;51.333477;6.903841;https://www.openstreetmap.org/way/280076345
1272657888;;;Am Gierath 4;40885;307;51.336124;6.847939;https://www.openstreetmap.org/way/1272657888
306854636;;;Am Gierath 22;40885;299;51.336889;6.848322;https://www.openstreetmap.org/way/306854636
306854651;;;Am Gierath 8;40885;285;51.336367;6.84823;https://www.openstreetmap.org/way/306854651
1272657887;;;Am Gierath 6;40885;283;51.336267;6.847872;https://www.openstreetmap.org/way/1272657887
306854637;;;Am Gierath 24;40885;254;51.336805;6.848204;https://www.openstreetmap.org/way/306854637
306854621;;;Am Gierath 10;40885;252;51.336456;6.848371;https://www.openstreetmap.org/way/306854621
189020926;;;Poststraße 65;40878;230;51.29617;6.862153;https://www.openstreetmap.org/way/189020926
284229743;;;Am Ostbahnhof 1b;40878;204;51.294668;6.863;https://www.openstreetmap.org/way/284229743
281402455;;;Am Sondert 21;40883;172;51.343451;6.894008;https://www.openstreetmap.org/way/281402455
95878584;;;Am Ostbahnhof 3a;40878;155;51.293595;6.862324;https://www.openstreetmap.org/way/95878584
288960429;;;Düsseldorfer Straße 79a;40878;111;51.293782;6.844811;https://www.openstreetmap.org/way/288960429
306854622;;;Krummenweger Straße 133;40885;104;51.335609;6.8469;https://www.openstreetmap.org/way/306854622
128287148;Ratingen Ost Rw;DB InfraGO AG;;;76;51.291285;6.86171;https://www.openstreetmap.org/way/128287148
268108369;IGEL GmbH;;Hubert-Wollenberg-Straße 11a;40878;55;51.2908;6.835823;https://www.openstreetmap.org/way/268108369
1272659027;;;Am Gierath 24a;40885;;;;https://www.openstreetmap.org/way/1272659027
1282582177;;;Harkortstraße 32;40880;;;;https://www.openstreetmap.org/way/1282582177
1282582178;;;Harkortstraße 28;40880;;;;https://www.openstreetmap.org/way/1282582178
1282582179;;;Harkortstraße 26;40880;;;;https://www.openstreetmap.org/way/1282582179
1282582180;;;Harkortstraße 24;40880;;;;https://www.openstreetmap.org/way/1282582180
1282582181;;;Harkortstraße 22;40880;;;;https://www.openstreetmap.org/way/1282582181
1282582182;;;Harkortstraße 20;40880;;;;https://www.openstreetmap.org/way/1282582182
1282582183;;;Harkortstraße 16;40880;;;;https://www.openstreetmap.org/way/1282582183
1282582184;;;Harkortstraße 18;40880;;;;https://www.openstreetmap.org/way/1282582184
1282582185;;;Harkortstraße 12;40880;;;;https://www.openstreetmap.org/way/1282582185
