rank;name_or_operator;area_sqm;address;city;zip_code;lat;lon;website;phone;email;building;osm_url;maps_url
58;OSM way/537273938;6691;;;;48.283442;11.258106;;;;warehouse;https://www.openstreetmap.org/way/537273938;https://www.google.com/maps?q=48.283442,11.258106
59;OSM way/174323095;6564;;;;48.023031;11.808436;;;;warehouse;https://www.openstreetmap.org/way/174323095;https://www.google.com/maps?q=48.023031,11.808436
60;OSM way/392348155;6470;;;;48.224282;11.331852;;;;warehouse;https://www.openstreetmap.org/way/392348155;https://www.google.com/maps?q=48.224282,11.331852
61;OSM way/28154074;6385;Unterbiberger Straße 43, 81737 München;München;81737;48.089599;11.628797;;;;warehouse;https://www.openstreetmap.org/way/28154074;https://www.google.com/maps?q=48.089599,11.628797
62;OSM way/191173201;6185;Breitenbachstraße 7, 82538 Geretsried;Geretsried;82538;47.890143;11.433906;;;;warehouse;https://www.openstreetmap.org/way/191173201;https://www.google.com/maps?q=47.890143,11.433906
63;OSM way/371232223;6184;;;;48.229645;11.336402;;;;warehouse;https://www.openstreetmap.org/way/371232223;https://www.google.com/maps?q=48.229645,11.336402
64;DHL;6114;;;;48.349653;11.763298;;;;industrial;https://www.openstreetmap.org/way/1332925686;https://www.google.com/maps?q=48.349653,11.763298
65;OSM way/1418963966;5992;;;;48.301929;11.633068;;;;warehouse;https://www.openstreetmap.org/way/1418963966;https://www.google.com/maps?q=48.301929,11.633068
66;OSM way/72119401;5887;;;;48.102189;11.53917;;;toelzerstrasse@myplace.de;warehouse;https://www.openstreetmap.org/way/72119401;https://www.google.com/maps?q=48.102189,11.53917
67;OSM way/223195313;5691;;;;48.134673;11.711975;;;;warehouse;https://www.openstreetmap.org/way/223195313;https://www.google.com/maps?q=48.134673,11.711975
68;Deutsche Post;5664;Kreuzstraße 81f, 85716 Unterschleißheim;Unterschleißheim;85716;48.259029;11.590457;;;;warehouse;https://www.openstreetmap.org/way/272786545;https://www.google.com/maps?q=48.259029,11.590457
69;Augustiner Brauerei;5628;;;;48.130521;11.410786;;;;warehouse;https://www.openstreetmap.org/way/1278867860;https://www.google.com/maps?q=48.130521,11.410786
70;OSM way/303579312;5292;;;;48.151128;11.742991;;;;warehouse;https://www.openstreetmap.org/way/303579312;https://www.google.com/maps?q=48.151128,11.742991
71;OSM way/48924127;5195;Angerstraße 54, 85354 Freising;Freising;85354;48.386273;11.730391;;;;warehouse;https://www.openstreetmap.org/way/48924127;https://www.google.com/maps?q=48.386273,11.730391
72;OSM way/257355653;5102;;;;47.934927;12.00893;;;;warehouse;https://www.openstreetmap.org/way/257355653;https://www.google.com/maps?q=47.934927,12.00893
73;Speicherbibliothek der Bayerischen StaatsBibliothek;5066;Römerhofweg 66, 85748 Garching bei München;Garching bei München;85748;48.260033;11.662356;;;;warehouse;https://www.openstreetmap.org/way/179243741;https://www.google.com/maps?q=48.260033,11.662356
